"Handle"	"Funder Identifier lt. CrossRef"	"Funder-Info lt. CrossRef"	"Funder-Phrase lt. PDF"	"keine Funder-Angabe im PDF"
"10419/150521"		"'Regional Research Funds Western Norway'"	"Finally, we would like to express our thanks to the Regional Research Funds Western Norway for financial support."	
"10419/195273"	"'10.13039/501100008425', '10.13039/501100003329'"	"'Consellería de Cultura, Educación e Ordenación Universitaria, Xunta de Galicia', 'Ministerio de Economía y Competitividad'"	"Financial aid from the Xunta de Galicia (Consolidación e Estruturación—2016 GPC GI-2060), and from the Spanish Ministry of Education and Science (Grant ECO2013-48496-C4-1-R) is acknowledged."	
"10419/195457"	"'10.13039/501100001659'"	"'Deutsche Forschungsgemeinschaft'"	"Financial support by the German Research Foundation (DFG) (project “Collective Bargaining and the Distribution of Wages: Theory and Empirical Evidence” in SPP 1169 and project “Accounting for Selection Effects in the Analysis of Wage Inequality in Germany” in SPP 1764), the German Academic Exchange Service (DAAD), and the “Wissenschaftliche Gesellschaft Freiburg” is gratefully acknowledged."	
"10419/195290"	"'10.13039/501100003329', '10.13039/501100010801'"	"'Ministerio de Economía y Competitividad', 'Xunta de Galicia'"	"Financial support by the Spanish Ministerio de Economía y Competitividad (ECO2014-52616-R) and Xunta de Galicia (GRC 2015/014) is gratefully acknowledged."	
"10419/167987"	"'10.13039/501100001711'"	"'Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung'"	"Financial support by the Swiss National Science Foundation (Grant 146089) is gratefully acknowledged."	
"10419/179154"	"'10.13039/501100001659'"	"'Deutsche Forschungsgemeinschaft'"	"Financial support for Heike Hennig-Schmidt is gratefully acknowledged by Deutsche Forschungsgemeinschaft (Sonderforschungsbereich 303 and grants HE 2790/2, 446 CHV-111/1/00, CHV 113/174/0-1), and EU-TMR Research Network ENDEAR (FMRX-0238). Heike Hennig-Schmidt also appreciates a fellowship at Käte Hamburger Kolleg/Centre for Global Cooperation (Duisburg) and support by IRECOHEX (University of Oslo) while working on the paper."	
"10419/197243"	"'10.13039/100006483'"	"'AbbVie'"	"Financial support for this study was provided by a grant from AbbVie. The funding agreement ensured the authors’ independence in designing the study, interpreting the data, writing, and publishing the report."	
"10419/158556"	"'10.13039/501100007136', '10.13039/501100000781'"	"'Secretaría de Estado de Investigación, Desarrollo e Innovación', 'European Research Council'"	"Financial support from European Research Council through Starting Grant n. 263600, and the Spanish Ministry of Economy and Competitiveness, through Grant ECO2014-59056-JIN, and Severo Ochoa Programme for Centers of Excellence in R&D (SEV-2011-0075) is gratefully acknowledged."	
"10419/194945"		"'Reset/Rejected 8-5: Additional text Funding: “Financial support from JSPS KAKENHI (Grant-in-Aid for Scientific Research) is gratefully acknowledged.”'"	"Financial support from JSPS KAKENHI (Grant-in-Aid for Scientific Research) is gratefully acknowledged."	
"10419/195270"	"'10.13039/501100007136'"	"'Secretaría de Estado de Investigación, Desarrollo e Innovación'"	"Financial support from Ministerio de Economía y Competitividad and FEDER (ECO2015-69334-R) is gratefully acknowledged."	
"10419/168006"	"'10.13039/100006445', '10.13039/501100002850'"	"'NSF', 'FONDECYT'"	"Financial support from NSF Grant #SES-0819780, and from FONDECYT under Grant Iniciación #11130277 is gratefully acknowledged. The author also acknowledges support from Núcleo Milenio Research Center in Entrepreneurial Strategy Under Uncertainty (NS130028). "	
"10419/146866"	"'10.13039/501100002347'"	"'Bundesministerium für Bildung und Forschung'"	"Financial support from the German Federal Ministry of Education and Research via the Hans-Böckler-Stiftung is gratefully acknowledged."	
"10419/195283"	"'10.13039/501100003030'"	"'Agència de Gestió dAjuts Universitaris i de Recerca', 'Government of Spain/FEDER', 'Government of Spain (Severo Ochoa Program)'"	"Financial support from the Government of Spain/FEDER through grant ECO2015-67602-P, the Severo Ochoa Program through grant SEV-2015-0563; and the Generalitat of Catalonia through grant 2014-SGR-803 is gratefully acknowledged."	
"10419/195004"	"'10.13039/100007439', '10.13039/501100001862'"	"'Jan Wallanders och Tom Hedelius Stiftelse samt Tore Browaldhs Stiftelse', 'Svenska Forskningsrådet Formas'"	"Financial support from the Jan Wallander and Tom Hedelius Foundation and Formas is gratefully acknowledged."	
"10419/171910"	"'10.13039/501100006473'"	"'Ministerio de Ciencia Tecnología y Telecomunicaciones'"	"Financial support from the Ministerio de Ciencia y Tecnología under Grants ECO2014-58991-C3-1-R, ECO2014-58991-C3-2-R and ECO2015-65967-R is gratefully acknowledged."	
"10419/195288"	"'10.13039/501100003329'"	"'Ministerio de Economía y Competitividad'"	"Financial support from the Ministerio de Economía y Competitividad (ECO2014-57413-P) is gratefully acknowledged."	
"10419/167984"	"'10.13039/100006445'"	"'NSF'"	"Financial support from the NSF under grant SES-1343380 is gratefully acknowledged."	
"10419/147773"		"'OeNB Jubilaeumsfond', 'OeNB Jubilaeumsfond'"	"Financial support from the OeNB Jubilaeumsfond [number 11701], is gratefully acknowledged."	
"10419/171826"	"'10.13039/100000919'"	"'Open Society Foundations'"	"Financial support from the Open Society Foundations and the Oxford Martin School is gratefully acknowledged."	
"10419/171921"	"'10.13039/100007695'"	"'Institute for New Economic Thinking'"	"Financial support from the Robertson Foundation (Award 9907422) and the Institute for New Economic Thinking (Grant 20029822) is gratefully acknowledged."	
"10419/195266"		"'Spanish Ministry of Economy and Competitiveness'"	"Financial support from the Spanish Ministry of Economy and Competitiveness, Grant No. ECO2014-59262-P, is gratefully acknowledged."	
"10419/195263"	"'10.13039/501100004837'"	"'Spanish Ministry of Science and Innovation'"	"Financial support from the Spanish Ministry of Science and Innovation through Grant ECO2013-44920-P is gratefully acknowledged."	
"10419/167628"	"'10.13039/501100004359'"	"'Swedish Research Council', 'University of Munich'"	"Financial support from the University of Munich and the Swedish Research Council is gratefully acknowledged. We are grateful for the support given us by the Ethiopian Development Research Institute."	
"10419/178631"	"'10.13039/501100001821'"	"'Vienna Science and Technology Fund'"	"Financial support from the Vienna Science and Technology Fund (WWTF) under project fund MA 09-017 is gratefully acknowledged."	
"10419/175610"		"'Regional Council of Bourgogne'"	"Financial support is acknowledged from the Regional Council of Bourgogne (CPER 2009 and PARI 2010). Usual disclaimers apply."	
"10419/169304"	"'10.13039/100000778'"	"'U.S. Department of Labor'"	"Funding for this paper was provided by the United States Department of Labor. "	
"10419/197460"	"'10.13039/100000919'"	"'Open Society Foundations', 'The Pardee RAND Graduate School'"	"Funding for this research was provided by Open Society Foundation through Civil Society Scholar Award (CSSA) and the Pardee RAND dissertation grant."	
"10419/149462"	"'10.13039/501100002749'"	"'Belgian Federal Science Policy Office'"	"Funding for this research was provided by the Belgian Science Policy Office (BELSPO)."	
"10419/177278"	"'10.13039/501100002428'"	"'Austrian Science Fund'"	"Funding from the Austrian Science Fund (FWF) under Grant W1229 is gratefully acknowledged."	
"10419/167937"	"'10.13039/100000925'"	"'John Templeton Foundation'"	"Funding from the John Templeton Foundation is also gratefully acknowledged."	
"10419/194888"	"'10.13039/100000139'"	"'U.S. Environmental Protection Agency'"	"Funding from the US Environmental Protection Agency was instrumental in developing the continuous-time version of the model."	
"10419/196987"		"'Personal fund from authors'"	"Funding was from personal contribution of authors."	
"10419/194886"	"'10.13039/501100001809'"	"'National Natural Science Foundation of China', 'Ministry of Commerce of China'"	"Funding was provided by Ministry of Commerce of China (Grand No. TAHP-2015-ZB-365) and National Natural Science Foundation of China (Grant Nos. 71673269 and 71125005)."	
"10419/194909"	"'10.13039/501100001809'"	"'National Natural Science Foundation of China', 'Tsinghua University Independent Study Plan', 'Tsinghua University Humanity and Social Science Revitalization Fund'"	"Funding was provided by National Natural Science Foundation of China (Grant No. 71733003), Tsinghua University Independent Study Plan (Grant No. 20151080359) and Tsinghua University Humanity and Social Science Revitalization Fund (Grant No. 20145081013)."	
"10419/194321"		"'National Natural Science Foundation of China (CN)'"	"Funding was provided by the National Natural Science Foundation of China (CN) (71263016)."	
"10419/194302"		"'NSFC(CN)'"	"Funding was provided by the National Natural Science Foundation of China (CN) (71503198)."	
"10419/206109"		"'“La sostenibilidad del sistema nacional de salud: reformas, estrategias y propuestas”'"	"Funding
This paper has been partially financed by the Project: “La
sostenibilidad del sistema nacional de salud: reformas,
estrategias y propuestas” [DER2016-76053-R], Programa
Estatal de I+D+I Orientada a los Retos de la Sociedad.
Ministerio de Economía y Competitividad (Spain)."	
"10419/195286"		"'Ministerio de Economía, Industria y Competitividad/FEDER'"	"García-Pérez and Jansen gratefully acknowledge financial support from MINECO/FEDER (Grants ECO2015-65408-R and ECO2015-69631-P)."	
"10419/179181"	"'10.13039/501100007040', '10.13039/100006445'"	"'Singapore University of Technology and Design', 'Center for Hierarchical Manufacturing, National Science Foundation'"	"Georgios Piliouras would like to acknowledge SUTD grant SRG ESD 2015 097 and MOE AcRF Tier 2 Grant 2016-T2-1-170 and an NRF 2018 Fellowship (NRF-NRFF2018-07). Ger Yang is supported in part by NSF grant numbers CCF-1216103, CCF-1350823, CCF-1331863, and CCF-1733832. David Basanta is partly funded by an NCI U01 (NCI) U01CA202958-01."	
"10419/188985"	"'10.13039/501100001858'"	"'VINNOVA'"	"Grant 2014-00939 from Swedish Government Agency Vinnova to conduct the research upon which this article is based."	
"10419/197472"	"'10.13039/501100000193'"	"'International Development Research Centre'"	"Grant from International Development Research Centre"	
"10419/179092"	"'10.13039/501100004845'"	"'Haramaya University'"	"Haramaya University financially and logistically supported this research."	
"10419/175645"	"'10.13039/501100004845'"	"'HARAMAYA UNIVERSITY'"	"Haramaya University fund the study. The role of the Haramaya University provided fund for data collection. "	
"10419/197473"	"'10.13039/501100000193'"	"'International Development Research Centre'"	"his paper draws from research project on Youth Self-Employment in Ethiopia: Promoting Micro and Small Enterprises (MSEs) Through Government Support Programmes carried out under the auspices of the Association of Ethiopian Microfinance Institutions (AEMFI) with the financial support from Canada’s International Development Research Centre (IDRC). "	
"10419/167932"	"'10.13039/100006445', '10.13039/501100001821'"	"'NSF', 'WWTF'"	"Hofbauer’s work was supported by the WWTF grant (Project Number MA09-017) of the city of Vienna, Austria. Huttegger’s work was supported by the National Science Foundation under Grant No. EF-1038456."	
"10419/188977"	"'10.13039/501100001871'"	"'Fundação para a Ciência e a Tecnologia'"	"Hugo Pinto acknowledges the support from FCT – Portuguese Foundation for Science and Technology (SFRH/BD/ 35887/2007 and SFRH/BPD/84038/2012). The present article was also supported by the FCT strategic project (UID/SOC/ 50012/2013). "	
