	Index	handle	page_n	ne	type_ne	crossref_doi	crossref_phrase	pdf_phrase	funder	matched_funder
378	703	10419/179162	16	JSPS KAKENHI Grants number JP23530231		'10.13039/501100000646'	'Japan Society for the Promotion of Science'	This work was supported by JSPS KAKENHI Grants number JP23530231 and JP26380247. JSPS: Japan Society for the Promotion of Science. KAKENHI: Grants-in-Aid for Scientific Research.	Y	
379	706	10419/179166	11	Templeton World Charity Foundation		'10.13039/100000925', '10.13039/100000005', '10.13039/100000009'	'John Templeton Foundation', 'U.S. Department of Defense', 'Foundation for the National Institutes of Health'	nts: The authors gratefully acknowledge funding from the Templeton World Charity Foundation (grant no. TWCF0209), the Defense Advanced Research Projects Agency NGS2 program (grant no. D17AC00005), and the National Institutinos of Health (grant no. P30-AG034420). 	Y	Templeton World Charity Foundation (Bahamas); doi:10.13039/501100011730; 95.00
380	707	10419/179166	11	Defense Advanced Research Projects Agency NGS2 program		'10.13039/100000925', '10.13039/100000005', '10.13039/100000009'	'John Templeton Foundation', 'U.S. Department of Defense', 'Foundation for the National Institutes of Health'	nts: The authors gratefully acknowledge funding from the Templeton World Charity Foundation (grant no. TWCF0209), the Defense Advanced Research Projects Agency NGS2 program (grant no. D17AC00005), and the National Institutinos of Health (grant no. P30-AG034420). 	Y	
381	708	10419/179166	11	National Institutions of Health		'10.13039/100000925', '10.13039/100000005', '10.13039/100000009'	'John Templeton Foundation', 'U.S. Department of Defense', 'Foundation for the National Institutes of Health'	nts: The authors gratefully acknowledge funding from the Templeton World Charity Foundation (grant no. TWCF0209), the Defense Advanced Research Projects Agency NGS2 program (grant no. D17AC00005), and the National Institutinos of Health (grant no. P30-AG034420). 	Y	
382	712	10419/179181	22	NSF grant numbers		'10.13039/501100007040', '10.13039/100006445'	'Singapore University of Technology and Design', 'Center for Hierarchical Manufacturing, National Science Foundation'	Georgios Piliouras would like to acknowledge SUTD grant SRG ESD 2015 097 and MOE AcRF Tier 2 Grant 2016-T2-1-170 and an NRF 2018 Fellowship (NRF-NRFF2018-07). Ger Yang is supported in part by NSF grant numbers CCF-1216103, CCF-1350823, CCF-1331863, and CCF-1733832. David Basanta is partly funded by an NCI U01 (NCI) U01CA202958-01.	Y	
383	714	10419/179181	22	NCI		'10.13039/501100007040', '10.13039/100006445'	'Singapore University of Technology and Design', 'Center for Hierarchical Manufacturing, National Science Foundation'	Georgios Piliouras would like to acknowledge SUTD grant SRG ESD 2015 097 and MOE AcRF Tier 2 Grant 2016-T2-1-170 and an NRF 2018 Fellowship (NRF-NRFF2018-07). Ger Yang is supported in part by NSF grant numbers CCF-1216103, CCF-1350823, CCF-1331863, and CCF-1733832. David Basanta is partly funded by an NCI U01 (NCI) U01CA202958-01.	Y	VINCI (France); doi:10.13039/501100006513; 90.00
384	716	10419/179190	13	Melbourne School of Psychological Sciences		'10.13039/100008758'	'University of Melbourne'	Melbourne School of Psychological Sciences, The University of Melbourne.	Y	Melbourne School of Psychological Sciences (Australia); doi:10.13039/501100007961; 95.00
385	719	10419/180083	15	National Science Center			'National Science Center, Poland'	This work was supported by the National Science Center, granted by Decision no. 2013/09/D/ HS4/01051.	Y	
386	720	10419/180083	15	Decision No.2013/09			'National Science Center, Poland'	This work was supported by the National Science Center, granted by Decision no. 2013/09/D/ HS4/01051.	Y	
387	725	10419/180093	17	Autoritatea Nationala pentru Cercetare Stiintiﬁca		'10.13039/501100005802'	'Autoritatea Nationala pentru Cercetare Stiintifica'	Maria Miruna Pochea acknowledges that this work was supported by Autoritatea Nationala pentru Cercetare Stiintifica, CNCS – UEFISCDI, project number [PN-II-RU-TE-2014-4-1827].	Y	
388	726	10419/180093	17	CNCS		'10.13039/501100005802'	'Autoritatea Nationala pentru Cercetare Stiintifica'	Maria Miruna Pochea acknowledges that this work was supported by Autoritatea Nationala pentru Cercetare Stiintifica, CNCS – UEFISCDI, project number [PN-II-RU-TE-2014-4-1827].	Y	Corporation for National and Community Service (United States) (CNCS (United States)); doi:10.13039/100005186; 90.00
389	727	10419/180095	16	Directorate General for Employment			'Directorate General for Employment, Social Affairs and Inclusion of the European Commission'	The process of extending and updating EUROMOD is financially supported by the Directorate General for Employment, Social Affairs and Inclusion of the European Commission [Progress grant number VS/2011/0445].	Y	Directorate-General for Employment, Social Affairs and Inclusion (Belgium); doi:10.13039/501100000893; 90.00
390	728	10419/180095	16	European Commission			'Directorate General for Employment, Social Affairs and Inclusion of the European Commission'	The process of extending and updating EUROMOD is financially supported by the Directorate General for Employment, Social Affairs and Inclusion of the European Commission [Progress grant number VS/2011/0445].	Y	European Commission (Europe); doi:10.13039/501100000780; 95.00
391	730	10419/180095	16	EUROMOD			'Directorate General for Employment, Social Affairs and Inclusion of the European Commission'	The process of extending and updating EUROMOD is financially supported by the Directorate General for Employment, Social Affairs and Inclusion of the European Commission [Progress grant number VS/2011/0445].	Y	North American Neuromodulation Society (United States); doi:10.13039/100017681; 90.00
392	731	10419/180096	22	Eesti Teadusagentuur		'10.13039/501100002301', '10.13039/501100004963'	'Eesti Teadusagentuur', 'Seventh Framework Programme'	This work was supported by Eesti Teadusagentuur [grant number IUT20-49] and European Union Seventh Framework Programme [grant number 613256].	Y	Eesti Teadusagentuur (Estonia); doi:10.13039/501100002301; 95.00
393	735	10419/180096	22	AND		'10.13039/501100002301', '10.13039/501100004963'	'Eesti Teadusagentuur', 'Seventh Framework Programme'	This work was supported by Eesti Teadusagentuur [grant number IUT20-49] and European Union Seventh Framework Programme [grant number 613256].	Y	Oerlikon (Switzerland); doi:10.13039/501100004197; 90.00
394	737	10419/180099	12	National Science Centre of Poland		'10.13039/501100004281'	'Narodowe Centrum Nauki'	This work was supported by National Science Centre of Poland [DEC-2013/11/B/HS4/01040].	Y	Narodowym Centrum Nauki (Poland) (National Science Centre (Poland)); doi:10.13039/501100004442; 96.88
395	747	10419/180106	23	Narodowe Centrum Nauki		'10.13039/501100004281'	'Narodowe Centrum Nauki'	This work was supported by Narodowe Centrum Nauki: [2014/13/B/HS4/00209].	Y	Narodowe Centrum Nauki (Poland); doi:10.13039/501100004281; 95.00
396	763	10419/180852	16	Economic and Social Research Council		'10.13039/501100000269', '10.13039/100008078'	'Economic and Social Research Council', 'University of Strathclyde', 'Wissenschaftszentrum Berlin and the Centre for the Study of Public Policy'	The work of the first-named author was supported by an Economic and Social Research Council grant number ES/I03482X/1 about the global experience of cor- ruption. The PBB survey was funded by the Wissenschaftszentrum Berlin and the Centre for the Study of Public Policy, University of Strathclyde. 	Y	Economic and Social Research Council (United Kingdom); doi:10.13039/501100000269; 95.00
397	765	10419/180852	16	Wissenschaftszentrum Berlin		'10.13039/501100000269', '10.13039/100008078'	'Economic and Social Research Council', 'University of Strathclyde', 'Wissenschaftszentrum Berlin and the Centre for the Study of Public Policy'	The work of the first-named author was supported by an Economic and Social Research Council grant number ES/I03482X/1 about the global experience of cor- ruption. The PBB survey was funded by the Wissenschaftszentrum Berlin and the Centre for the Study of Public Policy, University of Strathclyde. 	Y	Wissenschaftszentrum Berlin für Sozialforschung (Germany); doi:10.13039/501100014392; 90.00
398	766	10419/180852	16	Public Policy		'10.13039/501100000269', '10.13039/100008078'	'Economic and Social Research Council', 'University of Strathclyde', 'Wissenschaftszentrum Berlin and the Centre for the Study of Public Policy'	The work of the first-named author was supported by an Economic and Social Research Council grant number ES/I03482X/1 about the global experience of cor- ruption. The PBB survey was funded by the Wissenschaftszentrum Berlin and the Centre for the Study of Public Policy, University of Strathclyde. 	Y	Lee Kuan Yew School of Public Policy, National University of Singapore (Singapore); doi:10.13039/501100019773; 90.00
399	768	10419/180852	16	PBB		'10.13039/501100000269', '10.13039/100008078'	'Economic and Social Research Council', 'University of Strathclyde', 'Wissenschaftszentrum Berlin and the Centre for the Study of Public Policy'	The work of the first-named author was supported by an Economic and Social Research Council grant number ES/I03482X/1 about the global experience of cor- ruption. The PBB survey was funded by the Wissenschaftszentrum Berlin and the Centre for the Study of Public Policy, University of Strathclyde. 	Y	Psychology Beyond Borders (United States) (PBB (United States)); doi:10.13039/100007169; 90.00
400	771	10419/181366	19	UNCE / HUM/028		'10.13039/501100001824', '10.13039/501100001664'	'Grantová Agentura České Republiky', 'Leibniz-Gemeinschaft', 'Charles University Research Centre Programme'	This work was supported by Grantová Agentura České Republiky [Grant Number Project 17-10543S]; Leibniz- Gemeinschaft [Grant Number SAW-2012-WZB-3]; Charles University Research Centre Programme [Grant Number UNCE/HUM/028].	Y	
401	776	10419/181430	9	Federal Ministry for Education		'10.13039/501100002347'	'Bundesministerium für Bildung und Forschung'	The study was funded by the Federal Ministry for Education and Research (BMBF Grant No. #01UW0706).	Y	Bundesministerium für Bildung, Wissenschaft, Forschung und Technologie (Germany) (Federal Ministry for Education, Science, Research and Technology (Germany)); doi:10.13039/501100010571; 90.00
402	782	10419/181430	9	BMBF		'10.13039/501100002347'	'Bundesministerium für Bildung und Forschung'	The study was funded by the Federal Ministry for Education and Research (BMBF Grant No. #01UW0706).	Y	Bundesministerium für Bildung und Forschung (Germany) (BMBF (Germany)); doi:10.13039/501100002347; 90.00
403	785	10419/182013	9	Open Access Publication Fund of Humboldt - Universität zu Berlin			'Humboldt-Universit&amp;#x00E4;t zu Berlin, Department of Geography'	This work was funded by the Department of Geography, Humboldt-Universität zu Berlin, Germany (to M.F.). In addition, we acknowledge support by the German Research Foundation (DFG) and the Open Access Publication Fund of Humboldt-Universität zu Berlin.	Y	
404	786	10419/182013	9	DFG			'Humboldt-Universit&amp;#x00E4;t zu Berlin, Department of Geography'	This work was funded by the Department of Geography, Humboldt-Universität zu Berlin, Germany (to M.F.). In addition, we acknowledge support by the German Research Foundation (DFG) and the Open Access Publication Fund of Humboldt-Universität zu Berlin.	Y	Deutsche Forschungsgemeinschaft (Germany) (DFG (Germany)); doi:10.13039/501100001659; 90.00
405	787	10419/182103	10	project ACCEPT		'10.13039/501100002347', '10.13039/501100001659'	'Bundesministerium für Bildung und Forschung', 'Deutsche Forschungsgemeinschaft'	This paper is part of the project ACCEPT, which was funded by the German Federal Ministry for Education and Research (grant number 01LA1112A). Furthermore, we acknowledge funding by the German Research Foundation (DFG Priority Program 1689, Climate Engin- eering) within the project TOMACE. 	Y	
406	788	10419/182103	10	German Federal Ministry for Education		'10.13039/501100002347', '10.13039/501100001659'	'Bundesministerium für Bildung und Forschung', 'Deutsche Forschungsgemeinschaft'	This paper is part of the project ACCEPT, which was funded by the German Federal Ministry for Education and Research (grant number 01LA1112A). Furthermore, we acknowledge funding by the German Research Foundation (DFG Priority Program 1689, Climate Engin- eering) within the project TOMACE. 	Y	
407	789	10419/182103	10	project TOMACE		'10.13039/501100002347', '10.13039/501100001659'	'Bundesministerium für Bildung und Forschung', 'Deutsche Forschungsgemeinschaft'	This paper is part of the project ACCEPT, which was funded by the German Federal Ministry for Education and Research (grant number 01LA1112A). Furthermore, we acknowledge funding by the German Research Foundation (DFG Priority Program 1689, Climate Engin- eering) within the project TOMACE. 	Y	
408	794	10419/182103	10	DFG		'10.13039/501100002347', '10.13039/501100001659'	'Bundesministerium für Bildung und Forschung', 'Deutsche Forschungsgemeinschaft'	This paper is part of the project ACCEPT, which was funded by the German Federal Ministry for Education and Research (grant number 01LA1112A). Furthermore, we acknowledge funding by the German Research Foundation (DFG Priority Program 1689, Climate Engin- eering) within the project TOMACE. 	Y	Deutsche Forschungsgemeinschaft (Germany) (DFG (Germany)); doi:10.13039/501100001659; 90.00
409	799	10419/184751	13	DFG		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	This work was supported by the German Research Foundation (DFG) [285911066].	Y	Deutsche Forschungsgemeinschaft (Germany) (DFG (Germany)); doi:10.13039/501100001659; 90.00
410	801	10419/184752	14	European Economic Research			'Centre for European Economic Research'	This research was conducted at the Centre for European Economic Research (ZEW), L7, 1, 68161 Mannheim, Germany.	Y	
411	802	10419/184752	14	ZEW			'Centre for European Economic Research'	This research was conducted at the Centre for European Economic Research (ZEW), L7, 1, 68161 Mannheim, Germany.	Y	Zewail City of Science and Technology (Egypt) (Zewail City (Egypt)); doi:10.13039/501100010720; 90.00
412	809	10419/187794	10	NSF Grant CNS-0846065		'10.13039/100000001', '10.13039/100000865'	'National Science Foundation', 'Bank of Canada', 'Short-Dooley Professorship', 'Google Research'	 This work was supported in part by NSF Grant CNS-0846065, NSF Grant CNS-1513575, the Bill and Melinda Gates Foundation Grant OPP1140486, the Short-Dooley Professorship, and Google Research Grant 2-378512.	Y	
413	819	10419/187867	7	Federal Ministry of Education		'10.13039/501100002347'	'Federal Ministry of Education and Research'	The work is part of the RESTORE 2050 project (Wuppertal Institute, Next Energy, University of Oldenburg) that is financed by the Federal Ministry of Education and Research (BMBF, Fkz. 03SFF0439A).	Y	Federalno Ministarstvo Obrazovanja i Nauke (Bosnia and Herzegovina) (Federal Ministry of Education and Science, Federation of Bosnia and Herzegovina (Bosnia and Herzegovina)); doi:10.13039/501100008805; 90.00
414	820	10419/187867	7	RESTORE		'10.13039/501100002347'	'Federal Ministry of Education and Research'	The work is part of the RESTORE 2050 project (Wuppertal Institute, Next Energy, University of Oldenburg) that is financed by the Federal Ministry of Education and Research (BMBF, Fkz. 03SFF0439A).	Y	Gulf Coast Ecosystem Restoration Council (United States) (RESTORE Council (United States)); doi:10.13039/100013158; 90.00
415	823	10419/187906	5	Environment and Food Security Ph.D. studentship		'10.13039/501100000270'	'Natural Environment Research Council', 'Environment and Food Security Ph.D. studentship from the University of Aberdeen', 'Marine Collaboration Research Forum'	This work was funded by the Environment and Food Secu- rity Ph.D. studentship from the University of Aberdeen, the Nat- ural Environment Research Council and Department for Envi- ronment, Food, and Rural Affairs (NE/J004308/1, NE/J004200/1, NE/J004332/1), and the Marine Collaboration Research Forum. 	Y	
416	824	10419/187906	5	Natural Environment Research Council and Department for Environment		'10.13039/501100000270'	'Natural Environment Research Council', 'Environment and Food Security Ph.D. studentship from the University of Aberdeen', 'Marine Collaboration Research Forum'	This work was funded by the Environment and Food Secu- rity Ph.D. studentship from the University of Aberdeen, the Nat- ural Environment Research Council and Department for Envi- ronment, Food, and Rural Affairs (NE/J004308/1, NE/J004200/1, NE/J004332/1), and the Marine Collaboration Research Forum. 	Y	
417	832	10419/188975	24	JSPS KAKENHI Grant Number JP26245048		'10.13039/501100001691'	'Japan Society for the Promotion of Science'	This work was supported by JSPS KAKENHI Grant Number JP26245048.	Y	
418	832	10419/188975	24	JSPS KAKENHI Grant Number JP26245048		'10.13039/501100001691'	'Japan Society for the Promotion of Science'	This work was supported by JSPS KAKENHI Grant Number JP26245048.	Y	
419	838	10419/188977	22	FCT strategic project		'10.13039/501100001871'	'Fundação para a Ciência e a Tecnologia'	Hugo Pinto acknowledges the support from FCT – Portuguese Foundation for Science and Technology (SFRH/BD/ 35887/2007 and SFRH/BPD/84038/2012). The present article was also supported by the FCT strategic project (UID/SOC/ 50012/2013). 	Y	
420	841	10419/188981	15	African Universities			'Association of African Universities'	The research was supported by the Association of African Universities (AAU) through the award of small grants for theses and dissertations, in the year 2015.	Y	
421	843	10419/188981	15	AAU			'Association of African Universities'	The research was supported by the Association of African Universities (AAU) through the award of small grants for theses and dissertations, in the year 2015.	Y	Anhui Agriculture University (China) (AAU (China)); doi:10.13039/501100006462; 90.00
422	844	10419/188984	23	Research Council of Norway		'10.13039/501100005416'	'Norges Forskningsråd'	The research reported in this article was funded by the Research Council of Norway, Programme for Regional R&D and Innovation (VRI), and by the county municipalities of Sogn og Fjordane, Møre og Romsdal, Rogaland and Østfold, in addition to resources from the participating research actors.	Y	Norges Forskningsråd (Norway) (Research Council of Norway (Norway)); doi:10.13039/501100005416; 95.00
423	845	10419/188984	23	Regional R&D		'10.13039/501100005416'	'Norges Forskningsråd'	The research reported in this article was funded by the Research Council of Norway, Programme for Regional R&D and Innovation (VRI), and by the county municipalities of Sogn og Fjordane, Møre og Romsdal, Rogaland and Østfold, in addition to resources from the participating research actors.	Y	
424	846	10419/188984	23	county municipalities of Sogn		'10.13039/501100005416'	'Norges Forskningsråd'	The research reported in this article was funded by the Research Council of Norway, Programme for Regional R&D and Innovation (VRI), and by the county municipalities of Sogn og Fjordane, Møre og Romsdal, Rogaland and Østfold, in addition to resources from the participating research actors.	Y	
425	847	10419/188984	23	VRI		'10.13039/501100005416'	'Norges Forskningsråd'	The research reported in this article was funded by the Research Council of Norway, Programme for Regional R&D and Innovation (VRI), and by the county municipalities of Sogn og Fjordane, Møre og Romsdal, Rogaland and Østfold, in addition to resources from the participating research actors.	Y	Swiss Vaccine Research Institute (Switzerland) (SVRI (Switzerland)); doi:10.13039/501100013905; 90.00
426	850	10419/194306	26	National Academy of Economics Strategy			'National Academy of Social Sciences, CASS'	Institution: National Academy of Economics Strategy, China Academy of Social Sciences. Grant number: 2016CJYCX07 Recipient: Shaohua Yi.	Y	
427	852	10419/194308	15	Young Talents			'Project Supported by China National Social Science Foundation', 'Foundation for the Young Talents by Zhejiang Gongshang University', 'Applied Economics Program of a key research institute of humanities and social science in universities of Zhejiang Province', 'High Level Introduction of Talent Research Start-Up Fund by Zhejiang Gongshang University'	This article is supported by the Foundation for the Young Talents by Zhejiang Gongshang University (No: QY1521); Applied Economics Program of a key research institute of humanities and social science in the universities of Zhejiang Province (No: JYTyyjj201503RC); and the High Level Introduction of Talent Research Start-Up Fund by Zhejiang Gongshang University (No: 31-15-54).	Y	Guangdong Province for Science and Technology Innovative Young Talents (China); doi:10.13039/501100019337; 90.00
428	853	10419/194308	15	Zhejiang Gongshang University			'Project Supported by China National Social Science Foundation', 'Foundation for the Young Talents by Zhejiang Gongshang University', 'Applied Economics Program of a key research institute of humanities and social science in universities of Zhejiang Province', 'High Level Introduction of Talent Research Start-Up Fund by Zhejiang Gongshang University'	This article is supported by the Foundation for the Young Talents by Zhejiang Gongshang University (No: QY1521); Applied Economics Program of a key research institute of humanities and social science in the universities of Zhejiang Province (No: JYTyyjj201503RC); and the High Level Introduction of Talent Research Start-Up Fund by Zhejiang Gongshang University (No: 31-15-54).	Y	Zhejiang Gongshang University (China); doi:10.13039/100010754; 95.00
429	854	10419/194308	15	Zhejiang Province			'Project Supported by China National Social Science Foundation', 'Foundation for the Young Talents by Zhejiang Gongshang University', 'Applied Economics Program of a key research institute of humanities and social science in universities of Zhejiang Province', 'High Level Introduction of Talent Research Start-Up Fund by Zhejiang Gongshang University'	This article is supported by the Foundation for the Young Talents by Zhejiang Gongshang University (No: QY1521); Applied Economics Program of a key research institute of humanities and social science in the universities of Zhejiang Province (No: JYTyyjj201503RC); and the High Level Introduction of Talent Research Start-Up Fund by Zhejiang Gongshang University (No: 31-15-54).	Y	Primary Research and Development Plan of Zhejiang Province (China); doi:10.13039/501100013145; 90.00
430	855	10419/194308	15	High Level Introduction of Talent Research Start - Up Fund			'Project Supported by China National Social Science Foundation', 'Foundation for the Young Talents by Zhejiang Gongshang University', 'Applied Economics Program of a key research institute of humanities and social science in universities of Zhejiang Province', 'High Level Introduction of Talent Research Start-Up Fund by Zhejiang Gongshang University'	This article is supported by the Foundation for the Young Talents by Zhejiang Gongshang University (No: QY1521); Applied Economics Program of a key research institute of humanities and social science in the universities of Zhejiang Province (No: JYTyyjj201503RC); and the High Level Introduction of Talent Research Start-Up Fund by Zhejiang Gongshang University (No: 31-15-54).	Y	
431	856	10419/194309	15	National Social Science Fund of China		'10.13039/501100012325'	'National Office for Philosophy and Social Sciences', 'Center for New Structural Economics, Peking University'	This paper is supported by the National Social Science Fund of China (Grant: 15CJL025) and the NSE Special Research Fund granted by the Center for New Structural Economics of Peking University.	Y	National Social Science Fund of China (China); doi:10.13039/501100012456; 95.00
432	857	10419/194309	15	New Structural Economics of Peking University		'10.13039/501100012325'	'National Office for Philosophy and Social Sciences', 'Center for New Structural Economics, Peking University'	This paper is supported by the National Social Science Fund of China (Grant: 15CJL025) and the NSE Special Research Fund granted by the Center for New Structural Economics of Peking University.	Y	
433	858	10419/194309	15	NSE		'10.13039/501100012325'	'National Office for Philosophy and Social Sciences', 'Center for New Structural Economics, Peking University'	This paper is supported by the National Social Science Fund of China (Grant: 15CJL025) and the NSE Special Research Fund granted by the Center for New Structural Economics of Peking University.	Y	Armenian National Science and Education Fund (United States) (ANSEF (United States)); doi:10.13039/100009533; 90.00
434	859	10419/194310	29	National Natural Science Foundation of China			'National Natural Science Foundation of China (CN)'	Jie Mao acknowledges financial support from the National Natural Science Foundation of China (grant number: 71573038). 	Y	National Natural Science Foundation of China (China); doi:10.13039/501100001809; 95.00
435	864	10419/194312	18	2015 State Scholarship Fund of China Scholarship Council		'10.13039/501100001809'	'National Natural Science Foundation of China', 'National Social Science Foundation of China', '2015 State Scholarship Fund of China Scholarship Council'	This paper is funded by 2015 State Scholarship Fund of China Scholarship Council (project number: 201506280119); National Natural Science Foundation of China “Study on the Risk Recognition and Warning of Real-estate Market Facing Financial Security” (project number: 71373201); and National Social Science Foundation of China “Study on Internet Finance Risk Control and Supervision: Theory, System and Method” (project number: 14AZD033).	Y	
436	865	10419/194312	18	National Natural Science Foundation of China		'10.13039/501100001809'	'National Natural Science Foundation of China', 'National Social Science Foundation of China', '2015 State Scholarship Fund of China Scholarship Council'	This paper is funded by 2015 State Scholarship Fund of China Scholarship Council (project number: 201506280119); National Natural Science Foundation of China “Study on the Risk Recognition and Warning of Real-estate Market Facing Financial Security” (project number: 71373201); and National Social Science Foundation of China “Study on Internet Finance Risk Control and Supervision: Theory, System and Method” (project number: 14AZD033).	Y	National Natural Science Foundation of China (China); doi:10.13039/501100001809; 95.00
437	866	10419/194312	18	Risk Recognition		'10.13039/501100001809'	'National Natural Science Foundation of China', 'National Social Science Foundation of China', '2015 State Scholarship Fund of China Scholarship Council'	This paper is funded by 2015 State Scholarship Fund of China Scholarship Council (project number: 201506280119); National Natural Science Foundation of China “Study on the Risk Recognition and Warning of Real-estate Market Facing Financial Security” (project number: 71373201); and National Social Science Foundation of China “Study on Internet Finance Risk Control and Supervision: Theory, System and Method” (project number: 14AZD033).	Y	
438	867	10419/194312	18	Real - estate Market Facing Financial Security		'10.13039/501100001809'	'National Natural Science Foundation of China', 'National Social Science Foundation of China', '2015 State Scholarship Fund of China Scholarship Council'	This paper is funded by 2015 State Scholarship Fund of China Scholarship Council (project number: 201506280119); National Natural Science Foundation of China “Study on the Risk Recognition and Warning of Real-estate Market Facing Financial Security” (project number: 71373201); and National Social Science Foundation of China “Study on Internet Finance Risk Control and Supervision: Theory, System and Method” (project number: 14AZD033).	Y	
439	868	10419/194312	18	National Social Science Foundation of China		'10.13039/501100001809'	'National Natural Science Foundation of China', 'National Social Science Foundation of China', '2015 State Scholarship Fund of China Scholarship Council'	This paper is funded by 2015 State Scholarship Fund of China Scholarship Council (project number: 201506280119); National Natural Science Foundation of China “Study on the Risk Recognition and Warning of Real-estate Market Facing Financial Security” (project number: 71373201); and National Social Science Foundation of China “Study on Internet Finance Risk Control and Supervision: Theory, System and Method” (project number: 14AZD033).	Y	National Social Science Fund of China (China) (National Social Science Foundation (China)); doi:10.13039/501100012456; 97.62
440	869	10419/194312	18	Internet Finance Risk Control		'10.13039/501100001809'	'National Natural Science Foundation of China', 'National Social Science Foundation of China', '2015 State Scholarship Fund of China Scholarship Council'	This paper is funded by 2015 State Scholarship Fund of China Scholarship Council (project number: 201506280119); National Natural Science Foundation of China “Study on the Risk Recognition and Warning of Real-estate Market Facing Financial Security” (project number: 71373201); and National Social Science Foundation of China “Study on Internet Finance Risk Control and Supervision: Theory, System and Method” (project number: 14AZD033).	Y	
441	872	10419/194313	8	National Natural Science Foundation		'10.13039/501100001809'	'National Natural Science Foundation of China', 'Central Universities and Central University of Finance and Economics Major Research Task of Fostering Project,Beijing,China'	This paper is supported by National Natural Science Foundation, an innovation study of local governance in externally oriented regions: logic, route choice, and simulation of system dynamics (71373295); Central University of Finance and Economics Major Research Task of Fostering Project; and the Fundamental Research Funds for the Central Universities (14ZZD006) (NKZXA1406).	Y	National Natural Science Foundation of China (China); doi:10.13039/501100001809; 95.00
442	873	10419/194313	8	Central University of Finance		'10.13039/501100001809'	'National Natural Science Foundation of China', 'Central Universities and Central University of Finance and Economics Major Research Task of Fostering Project,Beijing,China'	This paper is supported by National Natural Science Foundation, an innovation study of local governance in externally oriented regions: logic, route choice, and simulation of system dynamics (71373295); Central University of Finance and Economics Major Research Task of Fostering Project; and the Fundamental Research Funds for the Central Universities (14ZZD006) (NKZXA1406).	Y	Central University of Finance and Economics (China); doi:10.13039/501100002942; 90.00
443	875	10419/194320	13	CSC		'10.13039/501100004543'	'China Scholarship Council'	"
The authors gratefully acknowledge the Chinese Scholarship Council (CSC) for funding this research."	Y	LabEx Chimie des Systèmes Complexes (France) (LabEx CSC (France)); doi:10.13039/501100011629; 90.00
444	877	10419/194360	26	Norwegian Ministry of Labour			'The Research Council of Norway'	The development and execution of the survey was financed by The Norwegian Ministry of Labour and Social Affairs. Data made available by the city of Oslo have been essential for the research project. This article is part of the project “Disentangling absence patterns”, financed by the Norwegian Research Council (grant # 227103/H20), and the project “Work Life Challenges—workforce management and worker involvement solutions” (grant # 202647/S20).	Y	
445	878	10419/194360	26	Disentangling absence patterns			'The Research Council of Norway'	The development and execution of the survey was financed by The Norwegian Ministry of Labour and Social Affairs. Data made available by the city of Oslo have been essential for the research project. This article is part of the project “Disentangling absence patterns”, financed by the Norwegian Research Council (grant # 227103/H20), and the project “Work Life Challenges—workforce management and worker involvement solutions” (grant # 202647/S20).	Y	
446	879	10419/194360	26	Norwegian Research Council			'The Research Council of Norway'	The development and execution of the survey was financed by The Norwegian Ministry of Labour and Social Affairs. Data made available by the city of Oslo have been essential for the research project. This article is part of the project “Disentangling absence patterns”, financed by the Norwegian Research Council (grant # 227103/H20), and the project “Work Life Challenges—workforce management and worker involvement solutions” (grant # 202647/S20).	Y	Norges Forskningsråd (Norway) (Norwegian Research Council (Norway)); doi:10.13039/501100005416; 95.00
447	881	10419/194361	20	National Institute on Disability		'10.13039/100009157'	'National Institute on Disability, Independent Living, and Rehabilitation Research'	This project was funded by the National Institute on Disability, Independent Living, and Rehabilitation Research (US Department of Health and Human Services) through the Rehabilitation and Research Training Center on Individual Characteristics at Kessler Foundation, under cooperative agreement 90RT5017-01-01.	Y	National Institute on Disability, Independent Living, and Rehabilitation Research (United States); doi:10.13039/100009157; 90.00
448	882	10419/194361	20	Rehabilitation and Research Training Center on Individual Characteristics		'10.13039/100009157'	'National Institute on Disability, Independent Living, and Rehabilitation Research'	This project was funded by the National Institute on Disability, Independent Living, and Rehabilitation Research (US Department of Health and Human Services) through the Rehabilitation and Research Training Center on Individual Characteristics at Kessler Foundation, under cooperative agreement 90RT5017-01-01.	Y	
449	883	10419/194361	20	Kessler Foundation		'10.13039/100009157'	'National Institute on Disability, Independent Living, and Rehabilitation Research'	This project was funded by the National Institute on Disability, Independent Living, and Rehabilitation Research (US Department of Health and Human Services) through the Rehabilitation and Research Training Center on Individual Characteristics at Kessler Foundation, under cooperative agreement 90RT5017-01-01.	Y	Kessler Foundation (United States); doi:10.13039/100001203; 90.00
450	886	10419/194363	23	Flemish minister of Employment			"""Steunpunt Werk en Sociale Economie"" financed within the Flemish program of strategic labor market research of the Flemish minister of Employment, Economics, Innovation and Sports'"	"Acknowledgements
The authors acknowledge financial support of the Flemish minister of Employment, Economics, Innovation and Sports
within the Flemish program of strategic labor market research “Steunpunt Werk en Sociale Economie”(2012–2016)."	Y	
451	887	10419/194363	23	Flemish program of strategic labor market research			"""Steunpunt Werk en Sociale Economie"" financed within the Flemish program of strategic labor market research of the Flemish minister of Employment, Economics, Innovation and Sports'"	"Acknowledgements
The authors acknowledge financial support of the Flemish minister of Employment, Economics, Innovation and Sports
within the Flemish program of strategic labor market research “Steunpunt Werk en Sociale Economie”(2012–2016)."	Y	
