	handle	page_n	ne	type_ne	crossref_doi	crossref_phrase	pdf_phrase	funder
648	10419/178582	18	DSF		'10.13039/100007398'	'Det Strategiske Forskningsråd'	This research has been supported by the Danish Council for Strategic Research (DSF), under Grant No. 10-092299. 	Y
649	10419/178590	23	SBA staff for support		'10.13039/501100002428'	'Austrian Science Fund (FWF)'	This work is financed by the Austrian Science Fund (FWF) project no. P26289-N23	Y
650	10419/178590	23	based System		'10.13039/501100002428'	'Austrian Science Fund (FWF)'	This work is financed by the Austrian Science Fund (FWF) project no. P26289-N23	Y
651	10419/178590	23	Security Engineering for Cloud Computing		'10.13039/501100002428'	'Austrian Science Fund (FWF)'	This work is financed by the Austrian Science Fund (FWF) project no. P26289-N23	Y
652	10419/178590	23	SBA		'10.13039/501100002428'	'Austrian Science Fund (FWF)'	This work is financed by the Austrian Science Fund (FWF) project no. P26289-N23	Y
653	10419/178631	10	project fund MA		'10.13039/501100001821'	'Vienna Science and Technology Fund'	Financial support from the Vienna Science and Technology Fund (WWTF) under project fund MA 09-017 is gratefully acknowledged.	Y
654	10419/178631	10	WWTF		'10.13039/501100001821'	'Vienna Science and Technology Fund'	Financial support from the Vienna Science and Technology Fund (WWTF) under project fund MA 09-017 is gratefully acknowledged.	Y
655	10419/179073	19	Genome Canada		'10.13039/100008762', '10.13039/501100010788'	'Genome Canada', 'Genome Prairie'	This study was funded by Genome Canada and Genome Prairie (grant number 2313).	Y
656	10419/179073	19	grant No.2313		'10.13039/100008762', '10.13039/501100010788'	'Genome Canada', 'Genome Prairie'	This study was funded by Genome Canada and Genome Prairie (grant number 2313).	Y
657	10419/179079	22	Bayer Crop Science AG		'10.13039/501100000780'	'European Commission', 'Bayer Crop Science AG', 'The Federal Ministry for Economic Cooperation and Development of Germany (BMZ)'	We would like to thank Bayer Crop Science AG, the European Commission (FOODSECURE research project), and the Federal Ministry for Economic Cooperation and Development of Germany (Commodity Price Volatility Research Project) for partial funding of this research.	Y
658	10419/179079	22	Federal Ministry for Economic Cooperation		'10.13039/501100000780'	'European Commission', 'Bayer Crop Science AG', 'The Federal Ministry for Economic Cooperation and Development of Germany (BMZ)'	We would like to thank Bayer Crop Science AG, the European Commission (FOODSECURE research project), and the Federal Ministry for Economic Cooperation and Development of Germany (Commodity Price Volatility Research Project) for partial funding of this research.	Y
659	10419/179079	22	FOODSECURE		'10.13039/501100000780'	'European Commission', 'Bayer Crop Science AG', 'The Federal Ministry for Economic Cooperation and Development of Germany (BMZ)'	We would like to thank Bayer Crop Science AG, the European Commission (FOODSECURE research project), and the Federal Ministry for Economic Cooperation and Development of Germany (Commodity Price Volatility Research Project) for partial funding of this research.	Y
660	10419/179082	15	International Food Policy Research Institute			'IFPRI'	The first author is grateful to the International Food Policy Research Institute (IFPRI), Ghana, for providing funds for data collection and allowing for the use of the data.	Y
661	10419/179082	15	IFPRI			'IFPRI'	The first author is grateful to the International Food Policy Research Institute (IFPRI), Ghana, for providing funds for data collection and allowing for the use of the data.	Y
662	10419/179087	14	14 of 14 Acknowledgements			'National University of Litoral'	This research was supported by funding of National University of Litoral, Argentina, Project CAID 0416, and funding of Catholic University of Santa Fe.	Y
663	10419/179087	14	National University of Litoral			'National University of Litoral'	This research was supported by funding of National University of Litoral, Argentina, Project CAID 0416, and funding of Catholic University of Santa Fe.	Y
664	10419/179087	14	Catholic University of Santa Fe			'National University of Litoral'	This research was supported by funding of National University of Litoral, Argentina, Project CAID 0416, and funding of Catholic University of Santa Fe.	Y
665	10419/179087	14	CAID			'National University of Litoral'	This research was supported by funding of National University of Litoral, Argentina, Project CAID 0416, and funding of Catholic University of Santa Fe.	Y
666	10419/179095	20	Agri - products Industry Network			'Structure and Performance of Agriculture and Agri-products Industry Network'	This research was partially funded through a grant from the Structure and Performance of Agriculture and Agri-products Industry Network. Researchers from Agriculture and Agri-Food Canada provided feedback on the survey design but did not participate in the analysis of the data or the interpretation of the results.	Y
667	10419/179097	20	Chi - square tests		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
668	10419/179097	20	SER A		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
669	10419/179097	20	NA NA NA		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
670	10419/179097	20	Australian Centre for International Agricultural Research		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
671	10419/179097	20	International Maize and Wheat Improvement Center		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
672	10419/179097	20	Sustainable Intensification of Maize - Legume Cropping Systems		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
673	10419/179097	20	Southern Africa ( SIMLESA ) program		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
674	10419/179097	20	Grant CSE/2009/024		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
675	10419/179097	20	Grant FSC/2012/024		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
676	10419/179097	20	International Fund for Agricultural Development		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
677	10419/179097	20	Grant COFIN - ECG-54 - CIMMYT		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
678	10419/179097	20	CGIAR program on MAIZE		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
679	10419/179097	20	Grant CSE/2009/024		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
680	10419/179097	20	Grant FSC/2012/024		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
681	10419/179097	20	Grant COFIN-ECG-54-CIMMYT		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
682	10419/179097	20	SER		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
683	10419/179097	20	ACIAR		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
684	10419/179097	20	CIMMYT		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
685	10419/179097	20	SIMLESA		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
686	10419/179097	20	IFAD		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
687	10419/179097	20	CGIAR		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
688	10419/179097	20	MAIZE		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
689	10419/179097	20	CRP		'10.13039/501100000974', '10.13039/100008687'	'Australian Centre for International agricultural Research', 'International Fund for Agricultural Development (IFAD)', 'CGIAR Program on Maize (MAIZE CRP)'	"
This work was supported by the Australian Centre for International Agricultural Research (ACIAR) through the International Maize and Wheat Improvement Center (CIMMYT)-led Sustainable Intensification of Maize-Legume Cropping Systems in Eastern and Southern Africa (SIMLESA) program under Grant CSE/2009/024 and Adoption Pathways Project under Grant FSC/2012/024 and International Fund for Agricultural Development (IFAD) under Grant COFIN-ECG-54-CIMMYT. We gratefully acknowledge additional financial support from the CGIAR program on MAIZE (CRP MAIZE)"	Y
690	10419/179108	9	DFG		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	We are very grateful for the support of the DFG (German Research Foundation), which financed this project (Project ID HI 811/5-3). Furthermore, we thank Prof. Dr. Norbert Hirschauer and Dr. Miroslava Bavorova for their support within the project.	Y
691	10419/179130	11	Bijzonder Onderzoeksfonds		'10.13039/501100007229'	'Bijzonder Onderzoeksfonds'	This research was funded by a grant from the ‘Bijzonder Onderzoeksfonds’ (FFB130151) from the University of Antwerp.	Y
692	10419/179143	6	7 Acknowledgments		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	Research funding by the German Research Foundation (TU 409/1-1) is gratefully acknowledged.	Y
693	10419/179154	17	Heike Hennig - Schmidt		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	Financial support for Heike Hennig-Schmidt is gratefully acknowledged by Deutsche Forschungsgemeinschaft (Sonderforschungsbereich 303 and grants HE 2790/2, 446 CHV-111/1/00, CHV 113/174/0-1), and EU-TMR Research Network ENDEAR (FMRX-0238). Heike Hennig-Schmidt also appreciates a fellowship at Käte Hamburger Kolleg/Centre for Global Cooperation (Duisburg) and support by IRECOHEX (University of Oslo) while working on the paper.	Y
694	10419/179154	17	Deutsche Forschungsgemeinschaft		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	Financial support for Heike Hennig-Schmidt is gratefully acknowledged by Deutsche Forschungsgemeinschaft (Sonderforschungsbereich 303 and grants HE 2790/2, 446 CHV-111/1/00, CHV 113/174/0-1), and EU-TMR Research Network ENDEAR (FMRX-0238). Heike Hennig-Schmidt also appreciates a fellowship at Käte Hamburger Kolleg/Centre for Global Cooperation (Duisburg) and support by IRECOHEX (University of Oslo) while working on the paper.	Y
695	10419/179154	17	CHV		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	Financial support for Heike Hennig-Schmidt is gratefully acknowledged by Deutsche Forschungsgemeinschaft (Sonderforschungsbereich 303 and grants HE 2790/2, 446 CHV-111/1/00, CHV 113/174/0-1), and EU-TMR Research Network ENDEAR (FMRX-0238). Heike Hennig-Schmidt also appreciates a fellowship at Käte Hamburger Kolleg/Centre for Global Cooperation (Duisburg) and support by IRECOHEX (University of Oslo) while working on the paper.	Y
696	10419/179154	17	TMR		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	Financial support for Heike Hennig-Schmidt is gratefully acknowledged by Deutsche Forschungsgemeinschaft (Sonderforschungsbereich 303 and grants HE 2790/2, 446 CHV-111/1/00, CHV 113/174/0-1), and EU-TMR Research Network ENDEAR (FMRX-0238). Heike Hennig-Schmidt also appreciates a fellowship at Käte Hamburger Kolleg/Centre for Global Cooperation (Duisburg) and support by IRECOHEX (University of Oslo) while working on the paper.	Y
697	10419/179154	17	ENDEAR		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	Financial support for Heike Hennig-Schmidt is gratefully acknowledged by Deutsche Forschungsgemeinschaft (Sonderforschungsbereich 303 and grants HE 2790/2, 446 CHV-111/1/00, CHV 113/174/0-1), and EU-TMR Research Network ENDEAR (FMRX-0238). Heike Hennig-Schmidt also appreciates a fellowship at Käte Hamburger Kolleg/Centre for Global Cooperation (Duisburg) and support by IRECOHEX (University of Oslo) while working on the paper.	Y
698	10419/179154	17	IRECOHEX		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	Financial support for Heike Hennig-Schmidt is gratefully acknowledged by Deutsche Forschungsgemeinschaft (Sonderforschungsbereich 303 and grants HE 2790/2, 446 CHV-111/1/00, CHV 113/174/0-1), and EU-TMR Research Network ENDEAR (FMRX-0238). Heike Hennig-Schmidt also appreciates a fellowship at Käte Hamburger Kolleg/Centre for Global Cooperation (Duisburg) and support by IRECOHEX (University of Oslo) while working on the paper.	Y
699	10419/179160	12	European Commission		'10.13039/501100000781'	'European Research Council'	 Nax and Duca acknowledge financial support by the European Commission through the ERC Advanced Investigator Grant ‘Momentum’ (Grant No. 324247). 	Y
700	10419/179160	12	ERC Advanced Investigator Grant ‘ Momentum		'10.13039/501100000781'	'European Research Council'	 Nax and Duca acknowledge financial support by the European Commission through the ERC Advanced Investigator Grant ‘Momentum’ (Grant No. 324247). 	Y
701	10419/179160	12	Grant No.324247		'10.13039/501100000781'	'European Research Council'	 Nax and Duca acknowledge financial support by the European Commission through the ERC Advanced Investigator Grant ‘Momentum’ (Grant No. 324247). 	Y
702	10419/179160	12	ERC		'10.13039/501100000781'	'European Research Council'	 Nax and Duca acknowledge financial support by the European Commission through the ERC Advanced Investigator Grant ‘Momentum’ (Grant No. 324247). 	Y
703	10419/179162	16	JSPS KAKENHI Grants number JP23530231		'10.13039/501100000646'	'Japan Society for the Promotion of Science'	This work was supported by JSPS KAKENHI Grants number JP23530231 and JP26380247. JSPS: Japan Society for the Promotion of Science. KAKENHI: Grants-in-Aid for Scientific Research.	Y
704	10419/179162	16	JSPS		'10.13039/501100000646'	'Japan Society for the Promotion of Science'	This work was supported by JSPS KAKENHI Grants number JP23530231 and JP26380247. JSPS: Japan Society for the Promotion of Science. KAKENHI: Grants-in-Aid for Scientific Research.	Y
705	10419/179162	16	KAKENHI		'10.13039/501100000646'	'Japan Society for the Promotion of Science'	This work was supported by JSPS KAKENHI Grants number JP23530231 and JP26380247. JSPS: Japan Society for the Promotion of Science. KAKENHI: Grants-in-Aid for Scientific Research.	Y
706	10419/179166	11	Templeton World Charity Foundation		'10.13039/100000925', '10.13039/100000005', '10.13039/100000009'	'John Templeton Foundation', 'U.S. Department of Defense', 'Foundation for the National Institutes of Health'	nts: The authors gratefully acknowledge funding from the Templeton World Charity Foundation (grant no. TWCF0209), the Defense Advanced Research Projects Agency NGS2 program (grant no. D17AC00005), and the National Institutinos of Health (grant no. P30-AG034420). 	Y
707	10419/179166	11	Defense Advanced Research Projects Agency NGS2 program		'10.13039/100000925', '10.13039/100000005', '10.13039/100000009'	'John Templeton Foundation', 'U.S. Department of Defense', 'Foundation for the National Institutes of Health'	nts: The authors gratefully acknowledge funding from the Templeton World Charity Foundation (grant no. TWCF0209), the Defense Advanced Research Projects Agency NGS2 program (grant no. D17AC00005), and the National Institutinos of Health (grant no. P30-AG034420). 	Y
708	10419/179166	11	National Institutions of Health		'10.13039/100000925', '10.13039/100000005', '10.13039/100000009'	'John Templeton Foundation', 'U.S. Department of Defense', 'Foundation for the National Institutes of Health'	nts: The authors gratefully acknowledge funding from the Templeton World Charity Foundation (grant no. TWCF0209), the Defense Advanced Research Projects Agency NGS2 program (grant no. D17AC00005), and the National Institutinos of Health (grant no. P30-AG034420). 	Y
709	10419/179166	11	grant No.TWCF0209		'10.13039/100000925', '10.13039/100000005', '10.13039/100000009'	'John Templeton Foundation', 'U.S. Department of Defense', 'Foundation for the National Institutes of Health'	nts: The authors gratefully acknowledge funding from the Templeton World Charity Foundation (grant no. TWCF0209), the Defense Advanced Research Projects Agency NGS2 program (grant no. D17AC00005), and the National Institutinos of Health (grant no. P30-AG034420). 	Y
710	10419/179166	11	grant No.D17AC00005		'10.13039/100000925', '10.13039/100000005', '10.13039/100000009'	'John Templeton Foundation', 'U.S. Department of Defense', 'Foundation for the National Institutes of Health'	nts: The authors gratefully acknowledge funding from the Templeton World Charity Foundation (grant no. TWCF0209), the Defense Advanced Research Projects Agency NGS2 program (grant no. D17AC00005), and the National Institutinos of Health (grant no. P30-AG034420). 	Y
711	10419/179166	11	grant No.P30-AG034420		'10.13039/100000925', '10.13039/100000005', '10.13039/100000009'	'John Templeton Foundation', 'U.S. Department of Defense', 'Foundation for the National Institutes of Health'	nts: The authors gratefully acknowledge funding from the Templeton World Charity Foundation (grant no. TWCF0209), the Defense Advanced Research Projects Agency NGS2 program (grant no. D17AC00005), and the National Institutinos of Health (grant no. P30-AG034420). 	Y
712	10419/179181	22	NSF grant numbers		'10.13039/501100007040', '10.13039/100006445'	'Singapore University of Technology and Design', 'Center for Hierarchical Manufacturing, National Science Foundation'	Georgios Piliouras would like to acknowledge SUTD grant SRG ESD 2015 097 and MOE AcRF Tier 2 Grant 2016-T2-1-170 and an NRF 2018 Fellowship (NRF-NRFF2018-07). Ger Yang is supported in part by NSF grant numbers CCF-1216103, CCF-1350823, CCF-1331863, and CCF-1733832. David Basanta is partly funded by an NCI U01 (NCI) U01CA202958-01.	Y
